[10:59:09] <LoopWorker> ===========UPLAN Server启动，开启循环工作线程===========
[10:59:09] <LoopWorker>    =>线程[QoE视频测试组监控]已启动
[10:59:09] <LoopWorker>    =>线程[QoER数据监控]已启动
[10:59:09] <QoEMission> ==QoEMission 监控==
[10:59:09] <QoERMission> ==QoERMission 监控==
[11:00:11] <QoERMission> ==QoERMission 监控==
[11:00:25] <QoEMission> ==QoEMission 监控==
[11:01:13] <QoERMission> ==QoERMission 监控==
[11:01:42] <QoEMission> ==QoEMission 监控==
[11:02:15] <QoERMission> ==QoERMission 监控==
[11:02:58] <QoEMission> ==QoEMission 监控==
[11:03:17] <QoERMission> ==QoERMission 监控==
[11:04:14] <QoEMission> ==QoEMission 监控==
[11:04:19] <QoERMission> ==QoERMission 监控==
[11:05:21] <QoERMission> ==QoERMission 监控==
[11:05:30] <QoEMission> ==QoEMission 监控==
[11:06:23] <QoERMission> ==QoERMission 监控==
[11:06:46] <QoEMission> ==QoEMission 监控==
[11:07:26] <QoERMission> ==QoERMission 监控==
[11:08:02] <QoEMission> ==QoEMission 监控==
[11:08:28] <QoERMission> ==QoERMission 监控==
[11:09:18] <QoEMission> ==QoEMission 监控==
[11:09:30] <QoERMission> ==QoERMission 监控==
